,country,description,designation,points,price,province,region_1,taster_name,title,variety,winery
233,US,,,85,28.0,,,,,Pinot Noir,
235,US,,,85,49.0,,,,,Syrah,
236,US,,,85,85.0,,,,,Cabernet Sauvignon,
239,US,,,85,36.0,,,,,Cabernet Sauvignon,
240,France,,,85,9.0,,,,,Ugni Blanc-Colombard,
241,US,,,85,34.0,,,,,Sangiovese,
242,US,,,85,15.0,,,,,Chardonnay,
243,US,,,85,30.0,,,,,Chardonnay,
247,US,,,85,25.0,,,,,Merlot,
248,US,,,85,45.0,,,,,Pinot Noir,
249,US,,,85,18.0,,,,,Bordeaux-style Red Blend,
250,US,,,85,49.0,,,,,Cabernet Sauvignon,
251,US,,,85,22.0,,,,,Pinot Noir,
252,US,,,85,35.0,,,,,Zinfandel,
254,US,,,89,45.0,,,,,Petite Sirah,
255,US,,,89,55.0,,,,,Pinot Noir,
259,France,,,89,13.0,,,,,Malbec,
260,US,,,89,40.0,,,,,Pinot Noir,
262,US,,,89,39.0,,,,,Red Blend,
263,US,,,89,60.0,,,,,Pinot Noir,
276,US,,,89,20.0,,,,,Zinfandel,
277,US,,,89,30.0,,,,,Cabernet Sauvignon,
278,US,,,89,50.0,,,,,Pinot Noir,
281,US,,,92,34.0,,,,,Pinot Noir,
283,US,,,92,52.0,,,,,Pinot Noir,
286,US,,,92,60.0,,,,,Pinot Noir,
289,US,,,92,125.0,,,,,Cabernet Sauvignon,
292,France,,,92,45.0,,,,,Savagnin,
295,US,,,87,35.0,,,,,Cabernet Sauvignon-Syrah,
297,US,,,87,15.0,,,,,Cabernet Sauvignon,
300,US,,,87,28.0,,,,,Sangiovese,
301,US,,,87,14.0,,,,,Chardonnay,
305,US,,,87,24.0,,,,,Zinfandel,
307,France,,,87,30.0,,,,,Pinot Noir,
312,US,,,87,40.0,,,,,Cabernet Sauvignon,
314,US,,,87,28.0,,,,,Cabernet Sauvignon,
325,US,,,86,11.0,,,,,Vignoles,
328,US,,,86,16.0,,,,,White Blend,
329,US,,,86,34.0,,,,,Zinfandel,
330,US,,,86,40.0,,,,,Red Blend,
334,France,,,86,42.0,,,,,Champagne Blend,
337,France,,,83,16.0,,,,,Rosé,
338,France,,,82,11.0,,,,,Rosé,
340,France,,,82,18.0,,,,,Pinot Gris,
341,US,,,82,48.0,,,,,Zinfandel,
352,US,,,96,68.0,,,,,Chardonnay,
353,France,,,96,630.0,,,,,Chardonnay,
355,US,,,96,68.0,,,,,Chardonnay,
357,France,,,95,350.0,,,,,Pinot Noir,
359,France,,,95,110.0,,,,,Chardonnay,
362,US,,,95,200.0,,,,,Cabernet Sauvignon,
363,France,,,95,380.0,,,,,Chardonnay,
364,US,,,95,48.0,,,,,Pinot Noir,
370,US,,,88,160.0,,,,,Cabernet Sauvignon,
374,US,,,88,19.0,,,,,Sauvignon Blanc,
385,US,,,88,18.0,,,,,Sauvignon Blanc,
386,US,,,88,34.0,,,,,Merlot,
387,US,,,88,17.0,,,,,Sauvignon Blanc,
388,US,,,88,25.0,,,,,Pinot Noir,
392,US,,,87,12.0,,,,,Sauvignon Blanc,
396,US,,,85,16.0,,,,,Zinfandel,
403,US,,,85,15.0,,,,,Red Blend,
404,US,,,85,45.0,,,,,Syrah,
406,France,,,85,30.0,,,,,Champagne Blend,
409,US,,,85,20.0,,,,,Gewürztraminer,
410,US,,,85,20.0,,,,,Cabernet Franc,
411,US,,,85,12.0,,,,,Cabernet Sauvignon,
415,US,,,85,14.0,,,,,Riesling,
419,France,,,89,20.0,,,,,Bordeaux-style Red Blend,
421,US,,,89,30.0,,,,,Merlot,
422,US,,,89,20.0,,,,,Grenache Blanc,
424,US,,,89,30.0,,,,,White Blend,
425,US,,,89,18.0,,,,,Rosé,
427,US,,,89,35.0,,,,,Sparkling Blend,
429,US,,,89,42.0,,,,,Syrah,
430,US,,,89,30.0,,,,,Sauvignon Blanc,
431,US,,,89,24.0,,,,,Tempranillo,
432,US,,,89,16.0,,,,,Riesling,
433,US,,,89,27.0,,,,,Grenache Blanc,
437,US,,,89,54.0,,,,,Bordeaux-style Red Blend,
440,US,,,89,38.0,,,,,Cabernet Sauvignon,
442,US,,,89,35.0,,,,,Cabernet Franc,
443,US,,,88,32.0,,,,,Zinfandel,
446,US,,,88,20.0,,,,,Cabernet Sauvignon,
447,France,,,88,14.0,,,,,Melon,
448,France,,,88,19.0,,,,,Rhône-style White Blend,
453,France,,,92,69.0,,,,,Champagne Blend,
455,US,,,92,40.0,,,,,Chardonnay,
456,US,,,92,23.0,,,,,Sparkling Blend,
457,US,,,92,45.0,,,,,Pinot Noir,
459,France,,,92,100.0,,,,,Champagne Blend,
460,US,,,92,50.0,,,,,Pinot Noir,
461,US,,,92,29.0,,,,,Pinot Blanc,
462,France,,,92,66.0,,,,,Chardonnay,
463,France,,,92,60.0,,,,,Champagne Blend,
467,US,,,92,65.0,,,,,Pinot Noir,
470,France,,,92,70.0,,,,,Champagne Blend,
471,France,,,92,73.0,,,,,Pinot Noir,
472,France,,,92,72.0,,,,,Pinot Noir,
475,US,,,92,130.0,,,,,Cabernet Sauvignon,
476,US,,,92,88.0,,,,,Red Blend,
477,France,,,92,65.0,,,,,Bordeaux-style Red Blend,
480,US,,,87,45.0,,,,,Bordeaux-style Red Blend,
482,US,,,87,60.0,,,,,Pinot Noir,
485,France,,,87,13.0,,,,,Rhône-style Red Blend,
486,US,,,87,13.0,,,,,Cabernet Sauvignon,
492,US,,,87,30.0,,,,,Sangiovese,
493,US,,,87,35.0,,,,,Red Blend,
494,US,,,87,12.0,,,,,Chardonnay,
495,US,,,87,18.0,,,,,Chardonnay,
497,US,,,87,30.0,,,,,Cabernet Franc,
498,US,,,87,17.0,,,,,Pinot Noir,
499,France,,,87,20.0,,,,,Rosé,
501,US,,,87,15.0,,,,,Verdelho,
503,US,,,87,19.0,,,,,Sauvignon Blanc,
504,France,,,87,15.0,,,,,Rhône-style Red Blend,
507,US,,,87,28.0,,,,,Syrah,
508,US,,,87,28.0,,,,,Tempranillo,
509,US,,,91,65.0,,,,,Red Blend,
510,US,,,91,48.0,,,,,Chardonnay,
511,France,,,91,70.0,,,,,Champagne Blend,
512,France,,,91,59.0,,,,,Champagne Blend,
513,US,,,91,90.0,,,,,Cabernet Sauvignon,
515,US,,,91,75.0,,,,,Pinot Noir,
516,US,,,91,55.0,,,,,Pinot Noir,
517,US,,,91,55.0,,,,,Pinot Noir,
518,France,,,91,60.0,,,,,Pinot Noir,
519,US,,,91,36.0,,,,,Grenache,
520,US,,,91,35.0,,,,,Marsanne,
521,US,,,91,35.0,,,,,Grenache,
522,US,,,91,55.0,,,,,Pinot Noir,
523,US,,,91,65.0,,,,,Pinot Noir,
524,US,,,91,35.0,,,,,Syrah,
525,US,,,91,49.0,,,,,Chardonnay,
526,US,,,91,55.0,,,,,Pinot Noir,
528,France,,,91,42.0,,,,,Champagne Blend,
529,US,,,91,45.0,,,,,Pinot Noir,
531,US,,,91,50.0,,,,,Sparkling Blend,
532,US,,,91,50.0,,,,,Pinot Noir,
533,US,,,91,50.0,,,,,Pinot Noir,
534,US,,,91,38.0,,,,,Cabernet Sauvignon,
536,US,,,91,50.0,,,,,Bordeaux-style Red Blend,
537,US,,,91,110.0,,,,,Cabernet Sauvignon,
538,US,,,91,45.0,,,,,Pinot Noir,
539,US,,,93,42.0,,,,,Pinot Noir,
540,US,,,93,60.0,,,,,Pinot Noir,
541,US,,,93,42.0,,,,,Pinot Noir,
543,US,,,93,75.0,,,,,Cabernet Sauvignon,
544,US,,,93,54.0,,,,,Red Blend,
545,US,,,93,85.0,,,,,Cabernet Sauvignon,
546,US,,,93,50.0,,,,,Chardonnay,
547,US,,,93,150.0,,,,,Sangiovese,
548,US,,,93,85.0,,,,,Pinot Noir,
550,US,,,93,35.0,,,,,Chardonnay,
551,US,,,93,46.0,,,,,Zinfandel,
552,France,,,93,20.0,,,,,Rosé,
554,France,,,93,40.0,,,,,Rosé,
555,US,,,93,75.0,,,,,Cabernet Sauvignon,
557,US,,,93,40.0,,,,,Pinot Noir,
558,US,,,93,25.0,,,,,White Blend,
559,US,,,93,48.0,,,,,Syrah-Grenache,
560,US,,,93,45.0,,,,,Syrah,
561,US,,,93,50.0,,,,,Pinot Noir,
562,US,,,93,65.0,,,,,Petite Sirah,
563,US,,,93,48.0,,,,,Pinot Noir,
564,US,,,93,62.0,,,,,Syrah,
565,US,,,93,100.0,,,,,Red Blend,
566,US,,,93,53.0,,,,,Cabernet Sauvignon,
568,US,,,93,70.0,,,,,Cabernet Sauvignon,
569,US,,,89,38.0,,,,,Chardonnay,
570,US,,,89,50.0,,,,,Syrah,
571,US,,,89,25.0,,,,,Albariño,
573,France,,,89,14.0,,,,,Bordeaux-style Red Blend,
574,France,,,89,11.0,,,,,Rosé,
575,France,,,89,14.0,,,,,Bordeaux-style Red Blend,
576,France,,,89,37.0,,,,,Bordeaux-style Red Blend,
577,US,,,89,17.0,,,,,Rosé,
578,France,,,89,15.0,,,,,Bordeaux-style Red Blend,
579,US,,,89,13.0,,,,,Rosé,
580,US,,,89,18.0,,,,,White Blend,
581,US,,,89,26.0,,,,,Gewürztraminer,
582,US,,,89,18.0,,,,,Merlot,
583,US,,,89,32.0,,,,,Pinot Noir,
585,US,,,89,25.0,,,,,Chardonnay,
588,US,,,89,18.0,,,,,Chardonnay,
590,US,,,89,17.0,,,,,Chardonnay,
592,US,,,89,41.0,,,,,Malbec,
594,France,,,89,20.0,,,,,Rhône-style Red Blend,
595,US,,,89,30.0,,,,,Cabernet Sauvignon,
598,US,,,89,36.0,,,,,Sangiovese,
599,US,,,87,20.0,,,,,Cabernet Sauvignon,
602,US,,,87,69.0,,,,,Cabernet Sauvignon,
603,US,,,87,36.0,,,,,Cabernet Franc,
606,US,,,87,25.0,,,,,Grenache,
607,US,,,87,25.0,,,,,Viognier,
609,US,,,87,20.0,,,,,Grüner Veltliner,
610,US,,,87,17.0,,,,,Sauvignon Blanc,
611,US,,,87,54.0,,,,,Pinot Noir,
612,US,,,87,40.0,,,,,G-S-M,
616,US,,,87,45.0,,,,,Chardonnay,
618,US,,,87,35.0,,,,,Merlot,
621,US,,,87,28.0,,,,,Pinot Noir,
622,US,,,87,25.0,,,,,Red Blend,
623,US,,,87,28.0,,,,,Red Blend,
624,US,,,87,20.0,,,,,Red Blend,
629,US,,,92,75.0,,,,,Pinot Noir,
630,US,,,92,48.0,,,,,Pinot Noir,
631,France,,,92,54.0,,,,,Gewürztraminer,
632,France,,,92,34.0,,,,,Riesling,
634,US,,,92,48.0,,,,,Zinfandel,
637,France,,,92,45.0,,,,,Alsace white blend,
638,France,,,92,36.0,,,,,Riesling,
639,France,,,92,30.0,,,,,Pinot Gris,
640,US,,,92,37.0,,,,,Chardonnay,
641,US,,,92,25.0,,,,,Pinot Gris,
643,US,,,92,60.0,,,,,Chardonnay,
644,US,,,92,40.0,,,,,Cabernet Sauvignon,
645,US,,,92,50.0,,,,,Pinot Noir,
649,US,,,92,75.0,,,,,Cabernet Sauvignon,
651,France,,,92,39.0,,,,,Riesling,
653,US,,,92,35.0,,,,,Grenache,
654,France,,,92,43.0,,,,,Riesling,
655,US,,,92,30.0,,,,,Zinfandel,
656,US,,,92,70.0,,,,,Pinot Noir,
658,US,,,90,40.0,,,,,Chardonnay,
659,US,,,90,45.0,,,,,Cabernet Sauvignon,
660,US,,,90,80.0,,,,,Cabernet Sauvignon,
661,US,,,90,15.0,,,,,Pinot Grigio,
663,US,,,90,65.0,,,,,Cabernet Sauvignon,
666,US,,,90,20.0,,,,,Riesling,
668,US,,,90,26.0,,,,,Riesling,
669,US,,,90,30.0,,,,,Malbec,
670,US,,,90,13.0,,,,,Cabernet Sauvignon,
671,US,,,90,45.0,,,,,Petite Sirah,
672,US,,,90,26.0,,,,,Riesling,
673,US,,,90,44.0,,,,,Pinot Noir,
674,US,,,90,38.0,,,,,Cabernet Sauvignon,
675,US,,,90,28.0,,,,,Pinot Noir,
676,US,,,90,32.0,,,,,Chardonnay,
679,US,,,90,35.0,,,,,Cabernet Sauvignon,
681,US,,,90,42.0,,,,,Syrah,
684,US,,,90,30.0,,,,,Cabernet Sauvignon,
685,US,,,90,75.0,,,,,Pinot Noir,
687,US,,,90,29.0,,,,,Chardonnay,
688,US,,,91,90.0,,,,,Cabernet Sauvignon,
689,US,,,91,35.0,,,,,Red Blend,
691,US,,,91,50.0,,,,,Malbec,
693,US,,,91,65.0,,,,,Cabernet Franc,
698,US,,,91,20.0,,,,,Bordeaux-style Red Blend,
701,France,,,91,65.0,,,,,Rosé,
702,France,,,91,17.0,,,,,Rosé,
704,France,,,91,20.0,,,,,Rosé,
706,France,,,91,20.0,,,,,Rosé,
707,France,,,91,20.0,,,,,Rosé,
708,France,,,91,25.0,,,,,Rosé,
709,US,,,91,38.0,,,,,Zinfandel,
711,US,,,91,23.0,,,,,Sauvignon Blanc,
712,US,,,91,48.0,,,,,Pinot Noir,
713,US,,,91,32.0,,,,,Pinot Noir,
717,France,,,91,25.0,,,,,Rosé,
719,France,,,85,15.0,,,,,Chardonnay,
724,US,,,85,14.0,,,,,Viognier,
727,US,,,85,13.0,,,,,Pinot Noir,
730,US,,,85,16.0,,,,,Cabernet Sauvignon,
731,France,,,85,10.0,,,,,Chardonnay,
732,France,,,85,22.0,,,,,Pinot Noir,
733,France,,,85,40.0,,,,,Pinot Noir,
736,US,,,85,32.0,,,,,Tempranillo,
741,France,,,85,10.0,,,,,Pinot Noir-Gamay,
742,France,,,85,20.0,,,,,Chardonnay,
743,US,,,85,33.0,,,,,Zinfandel,
747,US,,,87,24.0,,,,,Pinot Noir,
748,US,,,87,75.0,,,,,Cabernet Franc,
749,France,,,87,12.0,,,,,Riesling,
750,US,,,87,45.0,,,,,Pinot Noir,
753,US,,,87,22.0,,,,,Chardonnay,
755,US,,,87,18.0,,,,,Gewürztraminer,
756,US,,,87,35.0,,,,,Zinfandel,
757,US,,,87,36.0,,,,,Pinot Noir,
758,US,,,87,34.0,,,,,Pinot Noir,
759,US,,,87,70.0,,,,,Syrah,
760,US,,,87,28.0,,,,,Syrah,
764,US,,,87,45.0,,,,,Syrah,
765,US,,,87,32.0,,,,,Red Blend,
770,France,,,92,62.0,,,,,Chardonnay,
771,US,,,92,40.0,,,,,Sparkling Blend,
772,France,,,92,66.0,,,,,Chardonnay,
774,US,,,92,70.0,,,,,Pinot Noir,
775,US,,,92,48.0,,,,,Pinot Noir,
776,France,,,92,72.0,,,,,Chardonnay,
778,US,,,92,105.0,,,,,Pinot Noir,
779,France,,,92,101.0,,,,,Champagne Blend,
782,US,,,92,35.0,,,,,Sparkling Blend,
783,US,,,92,38.0,,,,,Zinfandel,
787,US,,,90,125.0,,,,,Cabernet Sauvignon,
790,US,,,90,17.0,,,,,Cabernet Sauvignon,
791,US,,,90,85.0,,,,,Pinot Noir,
792,France,,,90,30.0,,,,,Bordeaux-style Red Blend,
793,US,,,90,34.0,,,,,Red Blend,
794,US,,,90,22.0,,,,,Grenache Blanc,
795,France,,,90,35.0,,,,,Bordeaux-style Red Blend,
796,France,,,90,45.0,,,,,Bordeaux-style Red Blend,
797,France,,,90,20.0,,,,,Bordeaux-style Red Blend,
798,France,,,90,17.0,,,,,Bordeaux-style Red Blend,
799,France,,,90,45.0,,,,,Bordeaux-style Red Blend,
800,US,,,90,20.0,,,,,Cabernet Sauvignon,
801,US,,,90,50.0,,,,,Syrah,
802,France,,,90,22.0,,,,,Gamay,
803,US,,,90,39.0,,,,,Merlot,
804,US,,,90,35.0,,,,,Chardonnay,
805,US,,,90,15.0,,,,,Riesling,
806,US,,,90,27.0,,,,,Chardonnay,
810,US,,,90,125.0,,,,,Cabernet Sauvignon,
812,US,,,90,42.0,,,,,Syrah,
815,US,,,86,18.0,,,,,Sauvignon Blanc,
816,US,,,86,22.0,,,,,Gewürztraminer,
818,France,,,86,15.0,,,,,Gamay,
819,France,,,86,9.0,,,,,Colombard,
823,US,,,86,28.0,,,,,Malbec,
824,US,,,86,10.0,,,,,Merlot,
828,France,,,86,30.0,,,,,Chenin Blanc,
829,US,,,86,26.0,,,,,Viognier,
830,France,,,86,15.0,,,,,Chardonnay,
831,France,,,86,23.0,,,,,Gamay,
835,France,,,86,12.0,,,,,Gamay,
838,US,,,86,36.0,,,,,Syrah,
839,US,,,86,20.0,,,,,Riesling,
841,US,,,86,10.0,,,,,Chardonnay,
842,France,,,86,16.0,,,,,Gamay,
843,US,,,86,25.0,,,,,Cabernet Franc,
846,France,,,90,24.0,,,,,Sylvaner,
847,France,,,90,33.0,,,,,Pinot Noir,
849,France,,,90,70.0,,,,,Pinot Noir,
850,France,,,90,117.0,,,,,Chardonnay,
852,France,,,90,16.0,,,,,Sylvaner,
854,US,,,90,20.0,,,,,Zinfandel,
855,US,,,90,35.0,,,,,Chardonnay,
857,US,,,90,28.0,,,,,Syrah,
858,US,,,90,15.0,,,,,Pinot Gris,
859,US,,,90,150.0,,,,,Cabernet Sauvignon,
860,US,,,90,45.0,,,,,Cabernet Franc,
863,US,,,90,45.0,,,,,Pinot Noir,
867,US,,,90,40.0,,,,,Pinot Noir,
869,US,,,90,42.0,,,,,Grenache,
870,US,,,90,29.0,,,,,Syrah,
871,US,,,90,42.0,,,,,Merlot,
872,US,,,90,18.0,,,,,Albariño,
878,France,,,90,35.0,,,,,Bordeaux-style Red Blend,
879,France,,,90,45.0,,,,,Bordeaux-style Red Blend,
880,US,,,90,20.0,,,,,Syrah,
882,US,,,90,22.0,,,,,Cabernet Sauvignon,
884,US,,,90,28.0,,,,,Sparkling Blend,
885,US,,,90,27.0,,,,,Petite Sirah,
886,France,,,90,25.0,,,,,Rhône-style Red Blend,
888,US,,,90,72.0,,,,,Cabernet Franc,
889,US,,,90,44.0,,,,,Pinot Noir,
890,US,,,90,28.0,,,,,Viognier,
891,US,,,90,29.0,,,,,Pinot Noir,
892,US,,,90,58.0,,,,,Bordeaux-style Red Blend,
896,US,,,90,70.0,,,,,Syrah,
897,US,,,90,39.0,,,,,Syrah,
902,US,,,87,22.0,,,,,Roussanne,
905,US,,,87,30.0,,,,,Nero d'Avola,
906,US,,,87,18.0,,,,,Roussanne,
911,France,,,87,23.0,,,,,Cinsault,
912,US,,,87,18.0,,,,,Rosé,
915,US,,,87,25.0,,,,,Pinot Noir,
916,US,,,87,20.0,,,,,Pinot Gris,
925,US,,,87,20.0,,,,,Muscat Blanc à Petits Grains,
929,US,,,87,20.0,,,,,Zinfandel,
932,France,,,87,14.0,,,,,Bordeaux-style Red Blend,
933,France,,,87,16.0,,,,,Bordeaux-style Red Blend,
934,France,,,87,15.0,,,,,Bordeaux-style Red Blend,
935,France,,,87,14.0,,,,,Bordeaux-style Red Blend,
936,US,,,87,40.0,,,,,Chardonnay,
937,US,,,87,29.0,,,,,Pinot Blanc,
939,US,,,87,55.0,,,,,Bordeaux-style Red Blend,
940,France,,,87,38.0,,,,,Champagne Blend,
942,US,,,87,34.0,,,,,Pinot Noir,
944,US,,,87,27.0,,,,,Viognier,
945,US,,,87,17.0,,,,,Chardonnay,
946,US,,,87,65.0,,,,,Sangiovese,
950,US,,,87,40.0,,,,,Chardonnay,
951,US,,,87,32.0,,,,,Petit Verdot,
953,US,,,87,38.0,,,,,Pinot Noir,
954,US,,,87,15.0,,,,,Cabernet Sauvignon,
957,US,,,87,24.0,,,,,Sauvignon Blanc,
959,France,,,87,40.0,,,,,Champagne Blend,
960,France,,,87,18.0,,,,,Bordeaux-style Red Blend,
961,France,,,87,20.0,,,,,Bordeaux-style Red Blend,
962,France,,,85,40.0,,,,,Champagne Blend,
963,France,,,85,11.0,,,,,Bordeaux-style Red Blend,
970,US,,,85,19.0,,,,,Cabernet Sauvignon,
971,France,,,85,15.0,,,,,Champagne Blend,
972,US,,,85,23.0,,,,,Viognier,
973,US,,,85,35.0,,,,,Syrah,
974,US,,,85,30.0,,,,,Red Blend,
976,US,,,85,17.0,,,,,White Blend,
977,US,,,85,16.0,,,,,Viognier,
978,US,,,85,15.0,,,,,White Blend,
979,France,,,85,10.0,,,,,Sauvignon Blanc,
981,France,,,85,10.0,,,,,Sauvignon Blanc,
983,US,,,85,25.0,,,,,Gewürztraminer,
988,US,,,88,20.0,,,,,Pinot Gris,
990,US,,,88,12.0,,,,,Sauvignon Blanc,
992,France,,,88,14.0,,,,,Red Blend,
993,France,,,88,12.0,,,,,Chenin Blanc-Chardonnay,
994,France,,,88,22.0,,,,,Sauvignon Blanc,
998,US,,,88,18.0,,,,,Pinot Gris,
999,US,,,88,17.0,,,,,Riesling,
1000,US,,,88,24.0,,,,,Cabernet Sauvignon,
1002,US,,,88,60.0,,,,,Pinot Noir,
1003,France,,,88,26.0,,,,,Bordeaux-style Red Blend,
1004,France,,,88,25.0,,,,,Bordeaux-style White Blend,
1005,France,,,88,16.0,,,,,Sauvignon Blanc,
1006,US,,,88,40.0,,,,,Pinot Noir,
1007,France,,,88,21.0,,,,,Sauvignon Blanc,
1010,US,,,88,75.0,,,,,Pinot Noir,
1011,US,,,88,16.0,,,,,Pinot Gris,
1014,US,,,88,42.0,,,,,Rhône-style Red Blend,
1015,US,,,88,48.0,,,,,Red Blend,
1018,France,,,88,20.0,,,,,Gewürztraminer,
1019,US,,,88,125.0,,,,,Bordeaux-style Red Blend,
1020,US,,,88,14.0,,,,,Pinot Gris,
1024,France,,,88,28.0,,,,,Pinot Gris,
1025,US,,,88,42.0,,,,,Sauvignon Blanc,
1026,US,,,88,13.0,,,,,Pinot Gris,
1027,US,,,88,34.0,,,,,Grenache,
1030,US,,,88,60.0,,,,,Chardonnay,
1033,US,,,88,22.0,,,,,Chardonnay,
1034,France,,,88,10.0,,,,,Pinot Blanc,
